redshift    median_ri     lambda
     0.567679     0.826935      34.2364
     0.562632     0.839922      59.5291
     0.329283     0.513849      47.0811
     0.414292     0.580919      55.8679
     0.584396     0.874992      54.7543
     0.503537     0.708008      54.5560
     0.239460     0.443836      47.0506
     0.269083     0.467798      41.1621
     0.207053     0.423407      36.0212
     0.462779     0.634417      56.0968
     0.270666     0.470642      42.5503
     0.286707     0.481188      45.9675
     0.572491     0.836609      47.9048
     0.608482     0.953260      51.5355
     0.627319     0.964510      56.2951
     0.432102     0.606647      40.7960
     0.464337     0.627316      49.4761
     0.209056     0.428314      42.0469
     0.422726     0.579453      55.9442
     0.578440     0.872355      48.5455
     0.616279     0.946148      52.8780
     0.408029     0.571266      35.4873
     0.444175     0.610275      59.8952
     0.244428     0.449909      44.0606
     0.409997     0.581818      54.4187
     0.234722     0.444767      31.5362
     0.267445     0.468214      43.3588
     0.421309     0.583157      51.2304
     0.513337     0.736834      47.4014
     0.291373     0.484314      45.1589
     0.517372     0.733980      40.9791
     0.588186     0.902853      50.1931
     0.415769     0.585733      44.5335
     0.257518     0.456396      43.9996
     0.388338     0.557253      47.6150
     0.240793     0.438343      47.0200
     0.587661     0.878925      59.8647
     0.476066     0.674726      48.0116
     0.206208     0.425274      41.3910
     0.285329     0.479233      40.8723
     0.263142     0.467535      45.9980
     0.405452     0.573523      50.0558
     0.214208     0.440704      44.2284
     0.405929     0.571941      51.3677
     0.659372      1.02655      58.2325
     0.516455     0.728083      49.4303
     0.266621     0.470936      36.2805
     0.268690     0.468657      46.7912
     0.388411     0.571821      45.7081
     0.307914     0.493841      43.4046
     0.338037     0.519630      38.8739
     0.387056     0.576044      59.3156
     0.594986     0.904245      48.7591
     0.424731     0.575720      47.3099
     0.306367     0.498165      42.9622
     0.375930     0.555817      48.1184
     0.296396     0.496115      44.8691
     0.569588     0.831127      51.9321
     0.279933     0.477083      45.1284
     0.641851     0.990675      45.3878
     0.384559     0.552868      43.0995
     0.269064     0.468943      41.0096
     0.419228     0.580242      46.1200
     0.595137     0.911888      55.1662
     0.421499     0.582844      49.2320
     0.351255     0.551096      49.7812
     0.297810     0.496300      42.0012
     0.243972     0.450460      44.2436
     0.661033      1.00948      53.5187
     0.491854     0.691820      52.0237
     0.652489      1.01403      60.1241
     0.279098     0.474663      54.2662
     0.446675     0.614798      60.6122
     0.324660     0.521236      42.3368
     0.444341     0.607027      53.1525
     0.516748     0.729794      61.4512
     0.633940     0.959351      62.8395
     0.472957     0.658628      51.2457
     0.344712     0.528475      43.1758
     0.657512      1.02130      59.9563
     0.637791     0.975752      50.9863
     0.285587     0.480722      50.3609
     0.623608     0.963980      54.4492
     0.346212     0.522966      48.4082
     0.416308     0.561798      49.1710
     0.297716     0.493952      37.5772
     0.340813     0.523302      46.0132
     0.524630     0.763723      56.6154
     0.400569     0.571627      48.0269
     0.260191     0.455807      44.9911
     0.392910     0.558895      47.1268
     0.541869     0.786934      60.8716
     0.399393     0.562208      45.1742
     0.606560     0.926624      53.6102
     0.483314     0.675619      49.2930
     0.272737     0.472183      38.2027
     0.595131     0.906473      43.6945
     0.423091     0.591307      49.5524
     0.473401     0.668737      48.4998
     0.583743     0.884531      53.0458
     0.435060     0.596245      43.4504
     0.378897     0.550344      38.0959
     0.577044     0.861219      49.8117
     0.598150     0.910826      58.4155
     0.452336     0.626907      47.5387
     0.351362     0.528151      45.1284
     0.407701     0.563061      56.1578
     0.466755     0.649719      57.9121
     0.561369     0.846230      51.0321
     0.228893     0.445621      37.3789
     0.262439     0.463930      47.9659
     0.574367     0.865002      45.2047
     0.447610     0.615648      52.9085
     0.512093     0.724924      45.9675
     0.353155     0.554798      41.7113
     0.415087     0.584492      39.3010
     0.516611     0.739904      46.0437
     0.499240     0.703896      48.7439
     0.232551     0.450842      42.7944
     0.290847     0.483097      43.6792
     0.288818     0.481047      46.3641
     0.482591     0.662645      45.9217
     0.495671     0.693737      48.4845
     0.400975     0.565828      47.6608
     0.281155     0.475018      37.5009
     0.401855     0.579515      52.8322
     0.584349     0.889748      61.4512
     0.476840     0.677937      51.9321
     0.226925     0.434906      53.5492
     0.534240     0.761850      48.3930
     0.358918     0.549013      35.9602
     0.391416     0.555773      41.4672
     0.536065     0.768139      56.2035
     0.329287     0.514591      47.3404
     0.590941     0.882601      56.2340
     0.520781     0.742828      45.3878
     0.554857     0.800648      55.4866
     0.285188     0.479822      38.3247
     0.452956     0.627274      47.3251
     0.420533     0.573423      49.7507
     0.440995     0.602844      49.6592
     0.508372     0.711998      47.5540
     0.574604     0.854065      52.4813
     0.426586     0.590660      41.0554
     0.542541     0.785194      52.5423
     0.355913     0.550476      44.5182
     0.638082     0.981627      55.0289
     0.269538     0.468443      40.3231
     0.535385     0.758221      47.2031
     0.444264     0.615372      47.5540
     0.287937     0.475355      36.9518
     0.296768     0.491020      41.3605
     0.621994     0.969925      54.7085
     0.321673     0.512072      42.9165
     0.217928     0.432394      38.4620
     0.548427     0.811474      51.9016
     0.242278     0.451151      42.3215
     0.388374     0.566523      44.5030
     0.425955     0.593044      43.0995
     0.460044     0.635906      48.3625
     0.537229     0.777657      40.5977
     0.628587     0.977921      51.9932
     0.528792     0.761061      55.4408
     0.457743     0.632435      48.8964
     0.514526     0.736200      43.1910
     0.331037     0.528568      48.7133
     0.393501     0.560034      46.9590
     0.227647     0.437645      47.2794
     0.315262     0.505665      38.3095
     0.625630     0.962008      51.9169
     0.473261     0.647293      51.7949
     0.248181     0.452499      38.6298
     0.536858     0.786787      43.6639
     0.426484     0.593548      45.1589
     0.396712     0.562136      43.7555
     0.534185     0.763510      49.8270
     0.303266     0.499401      34.6940
     0.370424     0.546654      40.0638
     0.382716     0.557457      39.2400
     0.310605     0.508320      41.1774
     0.601744     0.923559      48.1947
     0.420439     0.578987      42.2452
     0.255312     0.463310      44.6708
     0.325995     0.524012      38.5535
     0.444165     0.613525      36.1280
     0.372636     0.561369      45.2657
     0.570221     0.860380      31.9481
     0.593503     0.912947      53.4729
     0.278206     0.470045      39.8960
     0.428982     0.591631      41.8639
     0.232843     0.439486      37.2721
     0.436877     0.588671      45.9217
     0.448907     0.607941      40.7808
     0.220369     0.440786      31.9176
     0.407311     0.575113      42.4130
     0.298917     0.491791      40.8113
     0.396661     0.558887      40.3841
     0.501793     0.709658      43.1605
     0.582589     0.875710      48.3015
     0.601980     0.944868      48.6981
     0.412495     0.582308      44.0606
     0.474805     0.658644      53.6712
     0.470855     0.655325      42.0927
     0.358672     0.549253      49.9337
     0.502178     0.697931      50.2694
     0.563750     0.844957      43.8928
     0.503032     0.707422      43.2521
     0.428238     0.588270      53.4882
     0.535313     0.788181      53.8238
     0.478283     0.665440      33.6567
     0.550253     0.803398      50.8490
     0.445361     0.638821      43.7097
     0.238612     0.447433      35.7161
     0.247501     0.451294      37.5314
     0.201237     0.419022      39.1485
     0.294881     0.482569      50.8490
     0.464445     0.638676      47.0353
     0.340219     0.538113      54.1746
     0.350848     0.537094      34.9991
     0.358137     0.539997      43.9385
     0.336147     0.526804      41.2384
     0.584240     0.888134      44.4725
     0.230466     0.452379      42.9012
     0.481190     0.680807      53.0305
     0.395223     0.568275      40.7808
     0.392045     0.554264      59.3003
     0.482222     0.671249      42.2605
     0.533895     0.782627      41.0706
     0.236305     0.447384      39.4231
     0.490334     0.693743      51.6881
     0.402352     0.562305      44.3657
     0.567778     0.842030      49.2930
     0.245067     0.461779      44.4267
     0.483591     0.672176      49.8270
     0.574559     0.854944      62.3513
     0.579302     0.872810      47.9506
     0.269119     0.470066      43.3131
     0.509204     0.715776      39.9112
     0.448779     0.625284      52.6949
     0.613139     0.933962      47.8133
     0.496254     0.698795      46.2878
     0.590222     0.884212      48.8964
     0.535073     0.765596      55.5171
     0.210341     0.437223      33.3821
     0.482973     0.671350      48.5608
     0.317488     0.501783      42.9927
     0.308612     0.506538      38.6298
     0.571795     0.840189      52.3288
     0.281073     0.474894      40.4757
     0.445457     0.605024      43.4504
